marketid,selection,selection label,line,american odds,decimal odds,participant,participant type,stat prefix,milestone value,tags selection,event id,subcategory id,market,market type,tags,book,fetched at,event name,start time,home team,away team,board scope,canonical market,canonical selection,participant name,participant venue role,market type norm,player key,market family,scope,market anchor mean,structural mean,calibrator mean,projected mean,sim mean,sim p10,sim median,sim p90,win probability,push probability,fair probability,fair american,edge,ev,projection source,structural source,pyth home probability,home runs mu,away runs mu
325881212,1+,1+,1.0,5100,52.0,Randy Arozarena,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Randy Arozarena Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Randy Arozarena Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.1578,5.0,16.0,37.0,0.9958,0.0,0.9958,-23710,0.9765692307692307,50.781600000000005,market_anchor,,0.5,3.5,3.5
325881604,1+,1+,1.0,5200,53.0,Jake Cronenworth,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Jake Cronenworth Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Jake Cronenworth Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.3872,5.0,17.0,37.0,0.99532,0.0,0.99532,-21268,0.9764520754716981,51.75196,market_anchor,,0.5,3.5,3.5
325881381,1+,1+,1.0,5000,51.0,Dominic Canzone,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Dominic Canzone Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Dominic Canzone Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.18288,5.0,17.0,37.0,0.99566,0.0,0.99566,-22941,0.976052156862745,49.77866,market_anchor,,0.5,3.5,3.5
325881578,1+,1+,1.0,5000,51.0,Cal Raleigh,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Cal Raleigh Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Cal Raleigh Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.30106,5.0,17.0,37.0,0.99534,0.0,0.99534,-21359,0.9757321568627451,49.76234,market_anchor,,0.5,3.5,3.5
325884495,1+,1+,1.0,4800,49.0,Francisco Alvarez,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984846,17847,Francisco Alvarez Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,NY Mets @ LA Dodgers,2026-04-15T02:10:00.0000000Z,LA Dodgers,NY Mets,player props,Francisco Alvarez Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.27896,5.0,17.0,37.0,0.99584,0.0,0.99584,-23938,0.9754318367346938,47.79616,market_anchor,,0.5,3.75,3.75
325881358,1+,1+,1.0,4800,49.0,Fernando Tatis Jr.,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Fernando Tatis Jr. Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Fernando Tatis Jr. Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.3062,5.0,17.0,37.0,0.99578,0.0,0.99578,-23597,0.9753718367346939,47.793220000000005,market_anchor,,0.5,3.5,3.5
325881639,1+,1+,1.0,4800,49.0,Jackson Merrill,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Jackson Merrill Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Jackson Merrill Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.24876,5.0,16.0,37.0,0.99518,0.0,0.99518,-20647,0.9747718367346938,47.763819999999996,market_anchor,,0.5,3.5,3.5
325861802,1+,1+,1.0,4700,48.0,Matt Wallner,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984829,17847,Matt Wallner Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,BOS Red Sox @ MIN Twins,2026-04-14T23:40:00.0000000Z,MIN Twins,BOS Red Sox,player props,Matt Wallner Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.24216,5.0,17.0,37.0,0.99552,0.0,0.99552,-22221,0.9746866666666666,46.78496,market_anchor,,0.5,4.0,4.0
325881565,1+,1+,1.0,4600,47.0,J.P. Crawford,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,J.P. Crawford Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,J.P. Crawford Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.3064,5.0,17.0,37.0,0.99594,0.0,0.99594,-24531,0.9746634042553192,45.80918,market_anchor,,0.5,3.5,3.5
325884764,1+,1+,1.0,4700,48.0,Luis Robert,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984846,17847,Luis Robert Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,NY Mets @ LA Dodgers,2026-04-15T02:10:00.0000000Z,LA Dodgers,NY Mets,player props,Luis Robert Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.34554,5.0,17.0,37.0,0.99548,0.0,0.99548,-22024,0.9746466666666667,46.78304,market_anchor,,0.5,3.75,3.75
325884930,1+,1+,1.0,4600,47.0,Jared Young,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984846,17847,Jared Young Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,NY Mets @ LA Dodgers,2026-04-15T02:10:00.0000000Z,LA Dodgers,NY Mets,player props,Jared Young Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.31678,5.0,17.0,37.0,0.99558,0.0,0.99558,-22524,0.9743034042553191,45.79226,market_anchor,,0.5,3.75,3.75
325881389,1+,1+,1.0,4500,46.0,Ramon Laureano,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Ramon Laureano Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Ramon Laureano Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.27514,5.0,17.0,37.0,0.9959,0.0,0.9959,-24290,0.9741608695652174,44.8114,market_anchor,,0.5,3.5,3.5
325881280,1+,1+,1.0,4600,47.0,Gavin Sheets,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Gavin Sheets Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Gavin Sheets Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.15906,5.0,17.0,36.0,0.99528,0.0,0.99528,-21086,0.9740034042553192,45.77816000000001,market_anchor,,0.5,3.5,3.5
325877911,1+,1+,1.0,4500,46.0,Bo Naylor,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984832,17847,Bo Naylor Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,CLE Guardians @ STL Cardinals,2026-04-14T23:45:00.0000000Z,STL Cardinals,CLE Guardians,player props,Bo Naylor Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.28926,5.0,17.0,37.0,0.99572,0.0,0.99572,-23264,0.9739808695652175,44.80312,market_anchor,,0.5,4.25,4.25
325881206,1+,1+,1.0,4600,47.0,Luke Raley,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Luke Raley Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Luke Raley Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.18212,5.0,16.0,36.0,0.99502,0.0,0.99502,-19980,0.9737434042553191,45.76594,market_anchor,,0.5,3.5,3.5
325876242,1+,1+,1.0,4400,45.0,Yoan Moncada,Player,3B,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984825,17847,Yoan Moncada Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,LA Angels @ NY Yankees,2026-04-14T23:05:00.0000000Z,NY Yankees,LA Angels,player props,Yoan Moncada Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.28782,5.0,17.0,37.0,0.99584,0.0,0.99584,-23938,0.9736177777777777,43.812799999999996,market_anchor,,0.5,4.25,4.25
325881465,1+,1+,1.0,4300,44.0,Julio Rodriguez,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984835,17847,Julio Rodriguez Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,SEA Mariners @ SD Padres,2026-04-15T01:40:00.0000000Z,SD Padres,SEA Mariners,player props,Julio Rodriguez Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.19874,5.0,17.0,36.0,0.9963,0.0,0.9963,-26927,0.9735727272727273,42.837199999999996,market_anchor,,0.5,3.5,3.5
325876211,1+,1+,1.0,4500,46.0,Jorge Soler,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984825,17847,Jorge Soler Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,LA Angels @ NY Yankees,2026-04-14T23:05:00.0000000Z,NY Yankees,LA Angels,player props,Jorge Soler Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.13894,5.0,17.0,36.0,0.9953,0.0,0.9953,-21177,0.9735608695652174,44.7838,market_anchor,,0.5,4.25,4.25
325878084,1+,1+,1.0,4400,45.0,Jose Ramirez,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984832,17847,Jose Ramirez Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,CLE Guardians @ STL Cardinals,2026-04-14T23:45:00.0000000Z,STL Cardinals,CLE Guardians,player props,Jose Ramirez Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.26782,5.0,17.0,37.0,0.99572,0.0,0.99572,-23264,0.9734977777777778,43.8074,market_anchor,,0.5,4.25,4.25
