marketid,selection,selection label,line,american odds,decimal odds,participant,participant type,stat prefix,milestone value,tags selection,event id,subcategory id,market,market type,tags,book,fetched at,event name,start time,home team,away team,board scope,canonical market,canonical selection,participant name,participant venue role,market type norm,player key,market family,scope,market anchor mean,structural mean,calibrator mean,projected mean,sim mean,sim p10,sim median,sim p90,win probability,push probability,fair probability,fair american,edge,ev,projection source,structural source,pyth home probability,home runs mu,away runs mu
325909040,Over,Over,1.5,133,2.33,Taylor Ward,Player,TB,,"MainPointLine, SGP",33984819,6607,Taylor Ward Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Taylor Ward Total Bases O/U,Over,,,total bases o u,,tb_ou,player,1.380178354135114,0.9455575885674264,,1.27009671816334,1.27526,0.0,1.0,3.0,0.35918,0.0,0.35918,178,-0.07000454935622319,-0.16311059999999994,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
325909040,Under,Under,1.5,-178,1.56,Taylor Ward,Player,TB,,"MainPointLine, SGP",33984819,6607,Taylor Ward Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Taylor Ward Total Bases O/U,Under,,,total bases o u,,tb_ou,player,1.380178354135114,0.9455575885674264,,1.27009671816334,1.27048,0.0,1.0,3.0,0.64466,0.0,0.64466,-181,0.004372230215827333,0.006828539325842764,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
325909164,Over,Over,1.5,117,2.17,Corbin Carroll,Player,TB,,"MainPointLine, SGP, 2ndFavorite",33984819,6607,Corbin Carroll Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Corbin Carroll Total Bases O/U,Over,,,total bases o u,,tb_ou,player,1.4656107130674356,0.9455575885674264,,1.2798049407692857,1.27772,0.0,1.0,3.0,0.35976,0.0,0.35976,178,-0.10106949308755758,-0.21932079999999993,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
325909164,Under,Under,1.5,-156,1.64,Corbin Carroll,Player,TB,,"MainPointLine, SGP, 2ndFavorite",33984819,6607,Corbin Carroll Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Corbin Carroll Total Bases O/U,Under,,,total bases o u,,tb_ou,player,1.4656107130674356,0.9455575885674264,,1.2798049407692857,1.27226,0.0,1.0,3.0,0.6433,0.0,0.6433,-180,0.03392499999999998,0.055671794871794855,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
325909176,Over,Over,1.5,119,2.19,Samuel Basallo,Player,TB,,"MainPointLine, SGP, 3rdFavorite",33984819,6607,Samuel Basallo Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Samuel Basallo Total Bases O/U,Over,,,total bases o u,,tb_ou,player,1.4554006982530217,0.9455575885674264,,1.2786447118131024,1.2803,0.0,1.0,3.0,0.35926,0.0,0.35926,178,-0.09736100456621,-0.21322059999999998,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
325909176,Under,Under,1.5,-158,1.63,Samuel Basallo,Player,TB,,"MainPointLine, SGP, 3rdFavorite",33984819,6607,Samuel Basallo Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Samuel Basallo Total Bases O/U,Under,,,total bases o u,,tb_ou,player,1.4554006982530217,0.9455575885674264,,1.2786447118131024,1.28268,0.0,1.0,3.0,0.6383,0.0,0.6383,-176,0.025896899224806202,0.042287341772151876,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
325909202,Over,Over,1.5,-127,1.78,Gunnar Henderson,Player,TB,,"MainPointLine, SGP, 1stFavorite",33984819,6607,Gunnar Henderson Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Gunnar Henderson Total Bases O/U,Over,,,total bases o u,,tb_ou,player,1.749788547979641,0.9455575885674264,,1.3120978765547635,1.31184,0.0,1.0,3.0,0.36902,0.0,0.36902,171,-0.19045136563876652,-0.3404130708661417,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
325909202,Under,Under,1.5,-105,1.95,Gunnar Henderson,Player,TB,,"MainPointLine, SGP, 1stFavorite",33984819,6607,Gunnar Henderson Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Gunnar Henderson Total Bases O/U,Under,,,total bases o u,,tb_ou,player,1.749788547979641,0.9455575885674264,,1.3120978765547635,1.30582,0.0,1.0,3.0,0.6311,0.0,0.6311,-171,0.11890487804878047,0.23214761904761905,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
325909270,Over,Over,1.5,-109,1.91,Pete Alonso,Player,TB,,"MainPointLine, SGP, 2ndFavorite",33984819,6607,Pete Alonso Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Pete Alonso Total Bases O/U,Over,,,total bases o u,,tb_ou,player,1.636945772213379,0.9455575885674264,,1.299274833854052,1.29214,0.0,1.0,3.0,0.366,0.0,0.366,173,-0.15553110047846885,-0.2982201834862385,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
325909270,Under,Under,1.5,-122,1.81,Pete Alonso,Player,TB,,"MainPointLine, SGP, 2ndFavorite",33984819,6607,Pete Alonso Total Bases O/U,Total Bases O/U,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, MicroMarketDelayRemoval, PlayerProps",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,player props,Pete Alonso Total Bases O/U,Under,,,total bases o u,,tb_ou,player,1.636945772213379,0.9455575885674264,,1.299274833854052,1.29776,0.0,1.0,3.0,0.63446,0.0,0.63446,-174,0.08491045045045043,0.15450918032786887,model_stack+anchor,joblib:hitter total bases,0.5,4.5,4.5
