sport,event_id,market,selection,line,price,participant,opponent,team_name,home_team,away_team,book,fetched_at
mlb,33984819,moneyline,away,,135.0,ARI Diamondbacks,,ARI Diamondbacks,BAL Orioles,ARI Diamondbacks,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,moneyline,home,,-163.0,BAL Orioles,,BAL Orioles,BAL Orioles,ARI Diamondbacks,DraftKings,2026-04-14T20:34:24Z
mlb,33984821,moneyline,away,,-102.0,SF Giants,,SF Giants,CIN Reds,SF Giants,DraftKings,2026-04-14T20:34:24Z
mlb,33984821,moneyline,home,,-118.0,CIN Reds,,CIN Reds,CIN Reds,SF Giants,DraftKings,2026-04-14T20:34:24Z
mlb,33984822,moneyline,away,,107.0,KC Royals,,KC Royals,DET Tigers,KC Royals,DraftKings,2026-04-14T20:34:24Z
mlb,33984822,moneyline,home,,-128.0,DET Tigers,,DET Tigers,DET Tigers,KC Royals,DraftKings,2026-04-14T20:34:24Z
mlb,33984823,moneyline,away,,124.0,CHI Cubs,,CHI Cubs,PHI Phillies,CHI Cubs,DraftKings,2026-04-14T20:34:24Z
mlb,33984823,moneyline,home,,-149.0,PHI Phillies,,PHI Phillies,PHI Phillies,CHI Cubs,DraftKings,2026-04-14T20:34:24Z
mlb,33984824,moneyline,away,,153.0,WAS Nationals,,WAS Nationals,PIT Pirates,WAS Nationals,DraftKings,2026-04-14T20:34:24Z
mlb,33984824,moneyline,home,,-186.0,PIT Pirates,,PIT Pirates,PIT Pirates,WAS Nationals,DraftKings,2026-04-14T20:34:24Z
mlb,33984825,moneyline,away,,149.0,LA Angels,,LA Angels,NY Yankees,LA Angels,DraftKings,2026-04-14T20:34:24Z
mlb,33984825,moneyline,home,,-181.0,NY Yankees,,NY Yankees,NY Yankees,LA Angels,DraftKings,2026-04-14T20:34:24Z
mlb,33984826,moneyline,away,,135.0,MIA Marlins,,MIA Marlins,ATL Braves,MIA Marlins,DraftKings,2026-04-14T20:34:24Z
mlb,33984826,moneyline,home,,-163.0,ATL Braves,,ATL Braves,ATL Braves,MIA Marlins,DraftKings,2026-04-14T20:34:24Z
mlb,33984827,moneyline,away,,-141.0,TB Rays,,TB Rays,CHI White Sox,TB Rays,DraftKings,2026-04-14T20:34:24Z
mlb,33984827,moneyline,home,,117.0,CHI White Sox,,CHI White Sox,CHI White Sox,TB Rays,DraftKings,2026-04-14T20:34:24Z
mlb,33984828,moneyline,away,,109.0,TOR Blue Jays,,TOR Blue Jays,MIL Brewers,TOR Blue Jays,DraftKings,2026-04-14T20:34:24Z
mlb,33984828,moneyline,home,,-131.0,MIL Brewers,,MIL Brewers,MIL Brewers,TOR Blue Jays,DraftKings,2026-04-14T20:34:24Z
mlb,33984829,moneyline,away,,-136.0,BOS Red Sox,,BOS Red Sox,MIN Twins,BOS Red Sox,DraftKings,2026-04-14T20:34:24Z
mlb,33984829,moneyline,home,,113.0,MIN Twins,,MIN Twins,MIN Twins,BOS Red Sox,DraftKings,2026-04-14T20:34:24Z
