book,sport,event_id,market_id,selection_id,fetched_at,market_name,market_family,scope,segment,is_milestone,milestone_value,line,selection,participant,team_name,home_team,away_team,price_american,implied_prob,fair_prob,market_group_key,outcome_key,projection_mean,projection_prob,model_prob,edge_pct_points,score_status
FanDuel,nba,35486189,moneyline,away,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,away,,Orlando Magic,Philadelphia 76ers,Orlando Magic,102.0,0.49504950495049505,,35486189|team|full_game|moneyline|orlando_magic|ou_or_side|0,35486189|team|full_game|moneyline|orlando_magic|ou_or_side|0|away,,,,,unscored_no_projection
FanDuel,nba,35486189,moneyline,home,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,home,,Philadelphia 76ers,Philadelphia 76ers,Orlando Magic,-120.0,0.5454545454545454,,35486189|team|full_game|moneyline|philadelphia_76ers|ou_or_side|0,35486189|team|full_game|moneyline|philadelphia_76ers|ou_or_side|0|home,,,,,unscored_no_projection
FanDuel,nba,35486203,spread,away,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,8.0,away,,Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,-108.0,0.5192307692307693,,35486203|team|full_game|spread|toronto_raptors|ou_or_side|8,35486203|team|full_game|spread|toronto_raptors|ou_or_side|8|away,,,,,unscored_no_projection
FanDuel,nba,35486203,spread,home,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,-8.0,home,,Cleveland Cavaliers,Cleveland Cavaliers,Toronto Raptors,-112.0,0.5283018867924528,,35486203|team|full_game|spread|cleveland_cavaliers|ou_or_side|-8,35486203|team|full_game|spread|cleveland_cavaliers|ou_or_side|-8|home,,,,,unscored_no_projection
FanDuel,nba,35482689,moneyline,away,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,away,,Miami Heat,Charlotte Hornets,Miami Heat,198.0,0.33557046979865773,,35482689|team|full_game|moneyline|miami_heat|ou_or_side|0,35482689|team|full_game|moneyline|miami_heat|ou_or_side|0|away,,,,,unscored_no_projection
FanDuel,nba,35482689,moneyline,home,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,home,,Charlotte Hornets,Charlotte Hornets,Miami Heat,-240.0,0.7058823529411765,,35482689|team|full_game|moneyline|charlotte_hornets|ou_or_side|0,35482689|team|full_game|moneyline|charlotte_hornets|ou_or_side|0|home,,,,,unscored_no_projection
FanDuel,nba,35486189,spread,away,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,1.5,away,,Orlando Magic,Philadelphia 76ers,Orlando Magic,-110.0,0.5238095238095238,,35486189|team|full_game|spread|orlando_magic|ou_or_side|1.5,35486189|team|full_game|spread|orlando_magic|ou_or_side|1.5|away,,,,,unscored_no_projection
FanDuel,nba,35486189,spread,home,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,-1.5,home,,Philadelphia 76ers,Philadelphia 76ers,Orlando Magic,-110.0,0.5238095238095238,,35486189|team|full_game|spread|philadelphia_76ers|ou_or_side|-1.5,35486189|team|full_game|spread|philadelphia_76ers|ou_or_side|-1.5|home,,,,,unscored_no_projection
FanDuel,nba,35482689,spread,away,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,6.0,away,,Miami Heat,Charlotte Hornets,Miami Heat,-110.0,0.5238095238095238,,35482689|team|full_game|spread|miami_heat|ou_or_side|6,35482689|team|full_game|spread|miami_heat|ou_or_side|6|away,,,,,unscored_no_projection
FanDuel,nba,35482689,spread,home,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,-6.0,home,,Charlotte Hornets,Charlotte Hornets,Miami Heat,-110.0,0.5238095238095238,,35482689|team|full_game|spread|charlotte_hornets|ou_or_side|-6,35482689|team|full_game|spread|charlotte_hornets|ou_or_side|-6|home,,,,,unscored_no_projection
FanDuel,nba,35482442,moneyline,away,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,away,,Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,124.0,0.44642857142857145,,35482442|team|full_game|moneyline|portland_trail_blazers|ou_or_side|0,35482442|team|full_game|moneyline|portland_trail_blazers|ou_or_side|0|away,,,,,unscored_no_projection
FanDuel,nba,35482442,moneyline,home,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,home,,Phoenix Suns,Phoenix Suns,Portland Trail Blazers,-146.0,0.5934959349593496,,35482442|team|full_game|moneyline|phoenix_suns|ou_or_side|0,35482442|team|full_game|moneyline|phoenix_suns|ou_or_side|0|home,,,,,unscored_no_projection
