marketid,selection,selection label,line,american odds,decimal odds,participant,participant type,stat prefix,milestone value,tags selection,event id,subcategory id,market,market type,tags,book,fetched at,event name,start time,home team,away team,board scope,canonical market,canonical selection,participant name,participant venue role,market type norm,player key,market family,scope,market anchor mean,structural mean,calibrator mean,projected mean,sim mean,sim p10,sim median,sim p90,win probability,push probability,fair probability,fair american,edge,ev,projection source,structural source,pyth home probability,home runs mu,away runs mu
1_84321105,Away,ARI Diamondbacks,,139,2.39,ARI Diamondbacks,Team,,,SGP,33984819,4519,Moneyline,Moneyline,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,game lines,Moneyline,Away,,,moneyline,,game_moneyline,game,,,,4.5,8.98052,4.0,8.0,15.0,0.43124,0.0,0.43124,132,0.012829958158995847,0.030663600000000013,market_anchor,,0.5,4.5,4.5
1_84321105,Home,BAL Orioles,,-168,1.59,BAL Orioles,Team,,,SGP,33984819,4519,Moneyline,Moneyline,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,game lines,Moneyline,Home,,,moneyline,,game_moneyline,game,,,,4.5,9.00028,4.0,8.0,15.0,0.42864,0.0,0.42864,133,-0.19822567164179106,-0.3162171428571428,market_anchor,,0.5,4.5,4.5
2_84321105,Away,ARI Diamondbacks,1.5,-156,1.64,ARI Diamondbacks,Team,,,"MainPointLine, SGP",33984819,4519,Run Line,Run Line,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,game lines,Run Line,Away,,,run line,,game_spread,game,1.5,,,0.0,8.9964,4.0,8.0,15.0,0.703,0.0,0.703,-237,0.09362499999999996,0.1536410256410256,market_anchor,,0.5,4.5,4.5
2_84321105,Home,BAL Orioles,-1.5,129,2.29,BAL Orioles,Team,,,"MainPointLine, SGP",33984819,4519,Run Line,Run Line,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,game lines,Run Line,Home,,,run line,,game_spread,game,0.0,,,0.0,9.01492,4.0,8.0,15.0,0.29862,0.0,0.29862,235,-0.1380612227074236,-0.3161602,market_anchor,,0.5,4.5,4.5
3_84321105,Over,Over,9.0,-107,1.93,,,,,"MainPointLine, SGP",33984819,4519,Total,Total,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,game lines,Total,Over,,,total,,game_total,game,9.618315500512214,0.0,,9.0,9.01468,4.0,8.0,15.0,0.40832,0.0891,0.4482599626742782,123,-0.10858821256038642,-0.120972523364486,model_stack+anchor,joblib:game game total runs,0.5,4.5,4.5
3_84321105,Under,Under,9.0,-113,1.88,,,,,"MainPointLine, SGP",33984819,4519,Total,Total,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,ARI Diamondbacks @ BAL Orioles,2026-04-14T22:35:00.0000000Z,BAL Orioles,ARI Diamondbacks,game lines,Total,Under,,,total,,game_total,game,9.618315500512214,0.0,,9.0,9.00114,4.0,8.0,15.0,0.50388,0.08984,0.5536169464709502,-124,-0.02663643192488263,0.03963150442477881,model_stack+anchor,joblib:game game total runs,0.5,4.5,4.5
1_84321115,Away,CHI Cubs,,119,2.19,CHI Cubs,Team,,,SGP,33984823,4519,Moneyline,Moneyline,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,CHI Cubs @ PHI Phillies,2026-04-14T22:40:00.0000000Z,PHI Phillies,CHI Cubs,game lines,Moneyline,Away,,,moneyline,,game_moneyline,game,,,,4.75,9.51092,4.0,9.0,16.0,0.43288,0.0,0.43288,131,-0.023741004566210033,-0.05199280000000006,market_anchor,,0.5,4.75,4.75
1_84321115,Home,PHI Phillies,,-143,1.69,PHI Phillies,Team,,,SGP,33984823,4519,Moneyline,Moneyline,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,CHI Cubs @ PHI Phillies,2026-04-14T22:40:00.0000000Z,PHI Phillies,CHI Cubs,game lines,Moneyline,Home,,,moneyline,,game_moneyline,game,,,,4.75,9.51306,4.0,9.0,15.0,0.43146,0.0,0.43146,132,-0.157017366255144,-0.26681972027972034,market_anchor,,0.5,4.75,4.75
2_84321115,Away,CHI Cubs,1.5,-168,1.59,CHI Cubs,Team,,,"MainPointLine, SGP",33984823,4519,Run Line,Run Line,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,CHI Cubs @ PHI Phillies,2026-04-14T22:40:00.0000000Z,PHI Phillies,CHI Cubs,game lines,Run Line,Away,,,run line,,game_spread,game,1.5,,,0.0,9.51646,4.0,9.0,16.0,0.7012,0.0,0.7012,-235,0.07433432835820897,0.11858095238095245,market_anchor,,0.5,4.75,4.75
2_84321115,Home,PHI Phillies,-1.5,139,2.39,PHI Phillies,Team,,,"MainPointLine, SGP",33984823,4519,Run Line,Run Line,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,CHI Cubs @ PHI Phillies,2026-04-14T22:40:00.0000000Z,PHI Phillies,CHI Cubs,game lines,Run Line,Home,,,run line,,game_spread,game,0.0,,,0.0,9.47114,4.0,9.0,16.0,0.30358,0.0,0.30358,229,-0.11483004184100415,-0.27444380000000007,market_anchor,,0.5,4.75,4.75
3_84321115,Over,Over,9.5,-112,1.89,,,,,"MainPointLine, SGP",33984823,4519,Total,Total,"SGP, YourBetEligible, Cashout, FeaturedSubcategory, Default, PrimaryMarket",DraftKings,2026-04-14T15:57:33Z,CHI Cubs @ PHI Phillies,2026-04-14T22:40:00.0000000Z,PHI Phillies,CHI Cubs,game lines,Total,Over,,,total,,game_total,game,9.702403818352877,0.0,,9.5,9.48188,4.0,9.0,16.0,0.4488,0.0,0.4488,123,-0.07950188679245285,-0.15048571428571433,model_stack+anchor,joblib:game game total runs,0.5,4.75,4.75
