book,sport,event_id,market_id,selection_id,fetched_at,market_name,market_family,scope,segment,is_milestone,milestone_value,line,selection,participant,team_name,home_team,away_team,price_american,implied_prob,fair_prob,market_group_key,outcome_key,projection_mean,projection_prob,model_prob,edge_pct_points,score_status
Novig,mlb,108812,,,,,team_total_runs,team,full_game,False,,4.5,under,,,BAL,ARI,-104.0,0.5098039215686274,0.4831081081081081,eid108812:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,108812,,,,,team_total_runs,team,full_game,False,,8.0,under,,,BAL,ARI,-1000.0,0.9090909090909091,0.5676855895196506,eid108812:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,108812,,,,,team_total_runs,team,full_game,False,,4.5,under,,,BAL,ARI,-102.0,0.504950495049505,0.24046449975538636,eid108812:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,108812,,,,,team_total_runs,team,full_game,False,,4.5,under,,,BAL,ARI,-118.0,0.5412844036697247,0.4908772441979273,eid108812:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,108812,,,,,team_total_runs,team,full_game,False,,3.5,over,,,BAL,ARI,-128.0,0.5614035087719298,0.5091227558020727,eid108812:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,108812,,,,,team_total_runs,team,full_game,False,,3.5,over,,,BAL,ARI,-120.0,0.5454545454545454,0.5168918918918919,eid108812:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,108812,,,,,team_total_runs,team,full_game,False,,2.0,over,,,BAL,ARI,-225.0,0.6923076923076923,0.43231441048034935,eid108812:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,108812,,,,,team_total_runs,team,full_game,False,,3.5,over,,,BAL,ARI,-121.0,0.5475113122171946,0.2607325571387257,eid108812:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,108863,,,,,team_total_runs,team,full_game,False,,4.5,under,,,MIN,BOS,-142.0,0.5867768595041323,0.5543606364172068,eid108863:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,108863,,,,,team_total_runs,team,full_game,False,,4.5,under,,,MIN,BOS,-124.0,0.5535714285714286,0.5399277029247453,eid108863:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,108863,,,,,team_total_runs,team,full_game,False,,4.5,under,,,MIN,BOS,-125.0,0.5555555555555556,0.2661957198504263,eid108863:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,108863,,,,,team_total_runs,team,full_game,False,,8.0,under,,,MIN,BOS,-1000.0,0.9090909090909091,0.547945205479452,eid108863:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,108863,,,,,team_total_runs,team,full_game,False,,4.5,over,,,MIN,BOS,112.0,0.4716981132075472,0.4600722970752547,eid108863:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,108863,,,,,team_total_runs,team,full_game,False,,4.5,over,,,MIN,BOS,112.0,0.4716981132075472,0.4456393635827931,eid108863:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,108863,,,,,team_total_runs,team,full_game,False,,4.5,over,,,MIN,BOS,107.0,0.4830917874396135,0.23147453900037068,eid108863:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,108863,,,,,team_total_runs,team,full_game,False,,2.0,over,,,MIN,BOS,-300.0,0.75,0.4520547945205479,eid108863:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109042,,,,,team_total_runs,team,full_game,False,,3.5,under,,,MIL,TOR,-122.0,0.5495495495495496,0.5187593796898449,eid109042:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109042,,,,,team_total_runs,team,full_game,False,,3.5,under,,,MIL,TOR,-114.0,0.5327102803738317,0.5109861135524697,eid109042:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109042,,,,,team_total_runs,team,full_game,False,,3.5,under,,,MIL,TOR,-112.0,0.5283018867924528,0.24938203141181872,eid109042:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109042,,,,,team_total_runs,team,full_game,False,,8.0,under,,,MIL,TOR,-3300.0,0.9705882352941176,0.592814371257485,eid109042:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109042,,,,,team_total_runs,team,full_game,False,,3.5,over,,,MIL,TOR,-104.0,0.5098039215686274,0.48124062031015497,eid109042:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109042,,,,,team_total_runs,team,full_game,False,,3.5,over,,,MIL,TOR,-104.0,0.5098039215686274,0.48901388644753035,eid109042:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109042,,,,,team_total_runs,team,full_game,False,,3.5,over,,,MIL,TOR,-104.0,0.5098039215686274,0.24065016756686705,eid109042:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109042,,,,,team_total_runs,team,full_game,False,,2.0,over,,,MIL,TOR,-200.0,0.6666666666666666,0.40718562874251496,eid109042:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109109,,,,,team_total_runs,team,full_game,False,,8.0,under,,,CIN,SF,-1400.0,0.9333333333333333,0.5482499773898888,eid109109:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109109,,,,,team_total_runs,team,full_game,False,,2.0,over,,,CIN,SF,-333.0,0.76905311778291,0.45175002261011127,eid109109:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109463,,,,,team_total_runs,team,full_game,False,,3.5,under,,,STL,CLE,116.0,0.46296296296296297,0.46809832283254943,eid109463:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109463,,,,,team_total_runs,team,full_game,False,,8.0,under,,,STL,CLE,-1600.0,0.9411764705882353,0.5475285171102661,eid109463:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109463,,,,,team_total_runs,team,full_game,False,,3.5,under,,,STL,CLE,118.0,0.45871559633027525,0.22668675756108414,eid109463:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109463,,,,,team_total_runs,team,full_game,False,,3.5,under,,,STL,CLE,120.0,0.45454545454545453,0.46568627450980393,eid109463:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109463,,,,,team_total_runs,team,full_game,False,,4.5,over,,,STL,CLE,-111.0,0.5260663507109005,0.5319016771674505,eid109463:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109463,,,,,team_total_runs,team,full_game,False,,2.0,over,,,STL,CLE,-350.0,0.7777777777777778,0.4524714828897338,eid109463:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109463,,,,,team_total_runs,team,full_game,False,,4.5,over,,,STL,CLE,-107.0,0.5169082125603864,0.25544421772318104,eid109463:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109463,,,,,team_total_runs,team,full_game,False,,4.5,over,,,STL,CLE,-109.0,0.5215311004784688,0.5343137254901961,eid109463:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109470,,,,,team_total_runs,team,full_game,False,,8.0,under,,,STL,CLE,-2000.0,0.9523809523809523,0.5649717514124294,eid109470:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109470,,,,,team_total_runs,team,full_game,False,,2.0,over,,,STL,CLE,-275.0,0.7333333333333333,0.43502824858757067,eid109470:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109479,,,,,team_total_runs,team,full_game,False,,2.5,under,,,LAD,NYM,120.0,0.45454545454545453,0.49074074074074076,eid109479:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109479,,,,,team_total_runs,team,full_game,False,,2.5,under,,,LAD,NYM,127.0,0.44052863436123346,0.4769585253456221,eid109479:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109479,,,,,team_total_runs,team,full_game,False,,2.5,under,,,LAD,NYM,124.0,0.44642857142857145,0.22622717922937868,eid109479:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109479,,,,,team_total_runs,team,full_game,False,,8.0,under,,,LAD,NYM,-4000.0,0.975609756097561,0.5591967197236302,eid109479:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109479,,,,,team_total_runs,team,full_game,False,,4.5,over,,,LAD,NYM,112.0,0.4716981132075472,0.5092592592592593,eid109479:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109479,,,,,team_total_runs,team,full_game,False,,4.5,over,,,LAD,NYM,107.0,0.4830917874396135,0.5230414746543779,eid109479:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109479,,,,,team_total_runs,team,full_game,False,,4.5,over,,,LAD,NYM,108.0,0.4807692307692308,0.24362926993933087,eid109479:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109479,,,,,team_total_runs,team,full_game,False,,2.0,over,,,LAD,NYM,-333.0,0.76905311778291,0.4408032802763697,eid109479:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109585,,,,,team_total_runs,team,full_game,False,,3.5,over,,,SD,SEA,-114.0,0.5327102803738317,0.5064069707842132,eid109585:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109585,,,,,team_total_runs,team,full_game,False,,3.5,over,,,SD,SEA,-125.0,0.5555555555555556,0.5238589211618258,eid109585:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109585,,,,,team_total_runs,team,full_game,False,,2.0,over,,,SD,SEA,-200.0,0.6666666666666666,0.4117647058823529,eid109585:bt4:ptNone:pregame,,,,,,market_only
Bet105,mlb,109585,,,,,team_total_runs,team,full_game,False,,3.5,over,,,SD,SEA,-109.0,0.5215311004784688,0.2432697373016215,eid109585:bt4:ptNone:pregame,,,,,,market_only
Novig,mlb,109585,,,,,team_total_runs,team,full_game,False,,3.5,under,,,SD,SEA,-108.0,0.5192307692307693,0.4935930292157868,eid109585:bt4:ptNone:pregame,,,,,,market_only
FanDuel,mlb,109585,,,,,team_total_runs,team,full_game,False,,3.5,under,,,SD,SEA,-102.0,0.504950495049505,0.47614107883817425,eid109585:bt4:ptNone:pregame,,,,,,market_only
Caesars,mlb,109585,,,,,team_total_runs,team,full_game,False,,8.0,under,,,SD,SEA,-2000.0,0.9523809523809523,0.588235294117647,eid109585:bt4:ptNone:pregame,,,,,,market_only
