book,sport,event_id,market_id,selection_id,fetched_at,market_name,market_family,scope,segment,is_milestone,milestone_value,line,selection,participant,team_name,home_team,away_team,price_american,implied_prob,fair_prob,market_group_key,outcome_key,projection_mean,projection_prob,model_prob,edge_pct_points,score_status
DraftKings,mlb,33984819,m1,s1,2026-04-14T19:30:56Z,Game Total Runs,game_total_runs,game,full_game,False,,8.5,Over,,,BAL Orioles,ARI Diamondbacks,-105.0,0.5121951219512195,0.4891657638136511,33984819|game|full_game|game_total_runs|game|ou_or_side|8.5,33984819|game|full_game|game_total_runs|game|ou_or_side|8.5|over,9.1,,0.5595,7.033423618634887,scored_monte_carlo
DraftKings,mlb,33984819,m1,s2,2026-04-14T19:30:56Z,Game Total Runs,game_total_runs,game,full_game,False,,8.5,Under,,,BAL Orioles,ARI Diamondbacks,-115.0,0.5348837209302325,0.5108342361863488,33984819|game|full_game|game_total_runs|game|ou_or_side|8.5,33984819|game|full_game|game_total_runs|game|ou_or_side|8.5|under,9.1,,0.436,-7.483423618634882,scored_monte_carlo
DraftKings,mlb,33984819,m2,s3,2026-04-14T19:30:56Z,Pete Alonso Hits O/U,hits,player,full_game,False,,1.5,Over,Pete Alonso,ARI Diamondbacks,BAL Orioles,ARI Diamondbacks,177.0,0.36101083032490977,0.34765055511943477,33984819|player|full_game|hits|pete_alonso|ou_or_side|1.5,33984819|player|full_game|hits|pete_alonso|ou_or_side|1.5|over,1.7,,0.5075,15.984944488056518,scored_monte_carlo
DraftKings,mlb,33984819,m2,s4,2026-04-14T19:30:56Z,Pete Alonso Hits O/U,hits,player,full_game,False,,1.5,Under,Pete Alonso,ARI Diamondbacks,BAL Orioles,ARI Diamondbacks,-210.0,0.6774193548387096,0.6523494448805651,33984819|player|full_game|hits|pete_alonso|ou_or_side|1.5,33984819|player|full_game|hits|pete_alonso|ou_or_side|1.5|under,1.7,,0.495,-15.734944488056513,scored_monte_carlo
DraftKings,mlb,33984819,m3,s5,2026-04-14T19:30:56Z,BAL Orioles Team Total Runs,game_total_runs,team,full_game,False,,4.5,Over,,BAL Orioles,BAL Orioles,ARI Diamondbacks,-102.0,0.504950495049505,0.4826358742837298,33984819|team|full_game|game_total_runs|bal_orioles|ou_or_side|4.5,33984819|team|full_game|game_total_runs|bal_orioles|ou_or_side|4.5|over,9.1,,0.948,46.53641257162702,scored_monte_carlo
DraftKings,mlb,33984819,m3,s6,2026-04-14T19:30:56Z,BAL Orioles Team Total Runs,game_total_runs,team,full_game,False,,4.5,Under,,BAL Orioles,BAL Orioles,ARI Diamondbacks,-118.0,0.5412844036697247,0.5173641257162701,33984819|team|full_game|game_total_runs|bal_orioles|ou_or_side|4.5,33984819|team|full_game|game_total_runs|bal_orioles|ou_or_side|4.5|under,9.1,,0.0465,-47.086412571627015,scored_monte_carlo
FanDuel,mlb,35487026,734.164099949,fd1,,Game Total Runs,game_total_runs,game,full_game,False,,8.5,Over,,,BAL Orioles,ARI Diamondbacks,-110.0,0.5238095238095238,0.5,35487026|game|full_game|game_total_runs|game|ou_or_side|8.5,35487026|game|full_game|game_total_runs|game|ou_or_side|8.5|over,,,,,market_only
FanDuel,mlb,35487026,734.164099949,fd2,,Game Total Runs,game_total_runs,game,full_game,False,,8.5,Under,,,BAL Orioles,ARI Diamondbacks,-110.0,0.5238095238095238,0.5,35487026|game|full_game|game_total_runs|game|ou_or_side|8.5,35487026|game|full_game|game_total_runs|game|ou_or_side|8.5|under,,,,,market_only
FanDuel,mlb,35487026,734.164201097,fd3,,Pete Alonso Hits O/U,hits,player,full_game,False,,1.5,Over,Pete Alonso,,BAL Orioles,ARI Diamondbacks,165.0,0.37735849056603776,0.3614457831325302,35487026|player|full_game|hits|pete_alonso|ou_or_side|1.5,35487026|player|full_game|hits|pete_alonso|ou_or_side|1.5|over,,,,,market_only
FanDuel,mlb,35487026,734.164201097,fd4,,Pete Alonso Hits O/U,hits,player,full_game,False,,1.5,Under,Pete Alonso,,BAL Orioles,ARI Diamondbacks,-200.0,0.6666666666666666,0.6385542168674698,35487026|player|full_game|hits|pete_alonso|ou_or_side|1.5,35487026|player|full_game|hits|pete_alonso|ou_or_side|1.5|under,,,,,market_only
